time_s,gsr_us
0.001,79.736842
0.252,81.339286
0.503,80.530973
0.754,78.956522
1.005,75.966387
1.256,76.694915
1.507,78.189655
1.758,78.956522
2.009,78.956522
2.260,73.852459
2.511,81.339286
2.762,82.162162
3.013,85.607477
3.264,86.509434
3.515,84.722222
3.767,86.509434
4.019,85.607477
4.271,87.428571
4.523,87.428571
4.775,85.607477
5.027,83.853211
5.279,83.853211
5.531,84.722222
5.784,83.853211
6.036,83.000000
6.288,83.000000
6.540,85.607477
6.792,85.607477
7.044,86.509434
7.296,86.509434
7.548,89.320388
7.801,90.294118
8.052,91.287129
8.304,90.294118
8.557,91.287129
8.808,89.320388
9.061,85.607477
9.313,84.722222
9.564,82.162162
9.816,80.530973
10.069,80.530973
10.321,80.530973
10.573,78.956522
10.825,79.736842
11.077,82.162162
11.329,84.722222
11.581,85.607477
11.834,86.509434
12.086,89.320388
12.338,91.287129
12.590,90.294118
12.842,90.294118
13.095,90.294118
13.347,88.365385
13.600,86.509434
13.852,86.509434
14.105,87.428571
14.357,87.428571
14.609,87.428571
14.862,87.428571
15.114,84.722222
15.366,80.530973
15.618,78.956522
15.870,78.956522
16.122,80.530973
16.374,80.530973
16.626,79.736842
16.878,79.736842
17.130,81.339286
17.382,79.736842
17.635,78.189655
17.887,78.189655
18.139,78.189655
18.391,78.956522
18.643,78.189655
18.895,78.956522
19.151,87.428571
19.403,89.320388
19.655,88.365385
19.908,84.722222
20.159,85.607477
20.412,84.722222
20.664,83.000000
20.916,81.339286
21.168,81.339286
21.420,78.189655
21.672,76.694915
21.924,75.250000
22.176,74.545455
22.428,78.189655
22.680,79.736842
22.932,79.736842
23.184,79.736842
23.436,78.956522
23.688,76.694915
23.940,75.250000
24.192,74.545455
24.444,76.694915
24.696,78.189655
24.949,78.956522
25.200,78.189655
25.452,76.694915
25.705,73.852459
25.957,71.190476
26.209,70.551181
26.460,70.551181
26.713,72.500000
26.965,74.545455
27.217,75.250000
27.469,75.250000
27.721,74.545455
27.973,73.170732
28.226,73.170732
28.477,71.190476
28.730,71.840000
28.982,72.500000
29.234,71.190476
29.486,71.190476
29.738,70.551181
29.991,69.302326
30.243,68.091603
30.495,68.091603
30.747,69.921875
31.000,71.840000
31.252,72.500000
31.504,73.170732
31.756,73.852459
32.008,73.170732
32.260,71.840000
32.513,69.921875
32.765,70.551181
33.017,71.190476
33.269,69.302326
33.522,67.500000
33.774,65.777778
34.026,65.220588
34.278,63.071429
34.530,63.071429
34.782,62.553191
35.035,63.071429
35.287,62.553191
35.539,63.071429
35.791,63.597122
36.043,64.671533
36.295,64.671533
36.547,63.597122
36.800,63.597122
37.052,64.130435
37.303,65.777778
37.556,65.220588
37.808,65.777778
38.060,65.220588
38.312,64.671533
38.565,63.071429
38.817,64.130435
