time_s,gsr_us
0.001,117.875000
0.252,119.493671
0.503,116.296296
0.754,116.296296
1.005,114.756098
1.256,116.296296
1.507,113.253012
1.758,111.785714
2.009,111.785714
2.260,111.785714
2.512,116.296296
2.765,121.153846
3.017,128.243243
3.269,132.083333
3.521,134.084507
3.773,134.084507
4.024,132.083333
5.527,140.441176
5.779,138.260870
6.031,140.441176
6.283,138.260870
6.535,138.260870
6.787,138.260870
7.039,134.084507
7.292,130.136986
7.544,130.136986
7.795,128.243243
8.047,130.136986
8.299,126.400000
8.551,128.243243
8.803,126.400000
9.055,124.605263
9.307,116.296296
9.559,113.253012
9.811,113.253012
10.063,114.756098
10.315,116.296296
10.567,111.785714
10.819,113.253012
11.071,113.253012
11.323,110.352941
11.576,108.953488
11.827,108.953488
12.080,107.586207
12.332,107.586207
12.584,107.586207
12.836,106.250000
13.088,107.586207
13.340,104.943820
13.592,103.666667
13.844,104.943820
14.096,102.417582
14.348,103.666667
14.600,103.666667
14.852,103.666667
15.104,103.666667
15.356,102.417582
15.608,102.417582
15.860,103.666667
16.112,104.943820
16.364,108.953488
16.616,110.352941
16.869,111.785714
17.121,114.756098
17.373,122.857143
17.625,128.243243
17.877,132.083333
18.129,136.142857
18.381,142.686567
18.634,145.000000
18.886,140.441176
19.139,140.441176
19.391,138.260870
19.643,136.142857
19.896,136.142857
20.148,138.260870
20.401,138.260870
20.653,136.142857
20.906,134.084507
21.158,130.136986
21.410,128.243243
21.663,130.136986
21.915,132.083333
22.168,134.084507
22.420,134.084507
22.672,136.142857
22.924,134.084507
23.176,132.083333
23.428,130.136986
23.681,134.084507
23.933,138.260870
24.185,136.142857
24.437,138.260870
24.689,138.260870
24.942,134.084507
25.194,128.243243
25.446,130.136986
25.698,130.136986
25.950,134.084507
26.202,134.084507
26.454,136.142857
26.706,134.084507
26.959,134.084507
27.211,132.083333
27.463,132.083333
27.715,134.084507
27.967,138.260870
28.219,136.142857
28.471,134.084507
28.724,134.084507
28.975,134.084507
29.227,130.136986
29.479,130.136986
29.732,132.083333
29.984,134.084507
30.236,134.084507
30.488,132.083333
30.740,134.084507
30.992,132.083333
31.244,132.083333
31.496,130.136986
31.748,130.136986
32.000,132.083333
32.252,134.084507
32.504,132.083333
32.756,132.083333
33.008,134.084507
33.260,134.084507
33.512,132.083333
33.764,132.083333
34.016,132.083333
34.268,138.260870
34.520,138.260870
34.772,138.260870
35.024,136.142857
35.276,134.084507
35.529,130.136986
35.781,130.136986
36.033,134.084507
36.285,136.142857
36.537,136.142857
36.789,136.142857
37.042,134.084507
37.294,132.083333
37.546,130.136986
37.799,130.136986
38.051,130.136986
38.303,132.083333
38.555,128.243243
38.807,130.136986
39.060,126.400000
39.312,124.605263
39.563,122.857143
39.816,121.153846
40.068,122.857143
40.320,122.857143
40.572,121.153846
40.825,119.493671
41.077,119.493671
41.329,117.875000
41.581,116.296296
41.834,116.296296
42.085,114.756098
42.338,116.296296
42.590,116.296296
42.842,116.296296
43.094,116.296296
43.347,113.253012
43.599,113.253012
43.851,114.756098
44.103,116.296296
44.355,117.875000
44.608,119.493671
44.860,117.875000
45.112,119.493671
45.364,116.296296
45.616,114.756098
45.868,116.296296
46.120,117.875000
46.373,114.756098
46.625,117.875000
46.877,114.756098
47.129,113.253012
47.381,111.785714
47.633,110.352941
47.886,110.352941
48.138,113.253012
48.390,114.756098
48.642,114.756098
48.894,114.756098
49.146,116.296296
49.398,113.253012
49.650,113.253012
49.902,114.756098
50.154,116.296296
50.405,113.253012
50.658,114.756098
50.910,114.756098
51.162,113.253012
51.414,111.785714
51.666,113.253012
51.918,108.953488
52.171,110.352941
52.423,111.785714
52.675,113.253012
52.927,114.756098
53.179,114.756098
53.431,116.296296
53.683,117.875000
53.935,114.756098
54.187,117.875000
54.440,119.493671
54.692,121.153846
54.944,117.875000
55.196,119.493671
55.448,116.296296
55.700,113.253012
55.953,113.253012
56.205,111.785714
56.457,113.253012
56.709,113.253012
56.962,111.785714
57.214,113.253012
57.466,113.253012
57.718,110.352941
57.970,108.953488
58.222,110.352941
58.474,114.756098
58.727,114.756098
58.979,113.253012
59.231,114.756098
59.483,113.253012
59.736,110.352941
59.988,108.953488
60.240,108.953488
60.492,111.785714
60.744,108.953488
60.996,110.352941
61.248,108.953488
61.500,108.953488
61.753,108.953488
62.005,104.943820
62.257,106.250000
62.509,106.250000
62.761,107.586207
63.013,104.943820
63.265,104.943820
63.518,104.943820
63.770,101.195652
64.022,98.829787
64.274,98.829787
64.526,100.000000
64.778,98.829787
65.030,100.000000
65.282,100.000000
65.534,98.829787
65.786,97.684211
66.039,96.562500
66.291,95.463918
66.543,97.684211
66.795,96.562500
67.047,98.829787
67.299,98.829787
67.552,100.000000
67.804,102.417582
68.056,100.000000
68.308,101.195652
68.560,101.195652
68.812,103.666667
69.064,104.943820
69.316,106.250000
69.569,106.250000
69.821,106.250000
70.073,102.417582
70.325,102.417582
70.577,101.195652
70.829,103.666667
71.082,103.666667
71.334,101.195652
71.586,102.417582
71.838,101.195652
72.091,97.684211
72.343,96.562500
72.595,96.562500
72.847,98.829787
73.099,97.684211
73.352,97.684211
73.604,97.684211
73.856,96.562500
74.108,94.387755
74.360,93.333333
74.612,94.387755
74.864,95.463918
75.116,95.463918
75.369,94.387755
75.621,95.463918
75.873,94.387755
76.125,93.333333
76.377,93.333333
76.629,94.387755
76.881,95.463918
77.133,96.562500
77.385,98.829787
77.637,100.000000
77.889,101.195652
78.141,98.829787
78.393,98.829787
78.645,98.829787
78.898,100.000000
79.150,102.417582
79.402,100.000000
79.654,101.195652
79.906,100.000000
80.159,98.829787
80.411,96.562500
80.663,96.562500
80.915,97.684211
81.168,98.829787
81.420,97.684211
81.672,98.829787
81.925,95.463918
82.176,93.333333
82.429,92.300000
82.681,98.829787
