time_s,gsr_us
0.001,16.230769
0.252,16.030534
0.503,16.163683
0.754,16.163683
1.005,16.163683
1.256,16.298201
1.507,16.365979
1.758,16.502591
2.009,16.640625
2.260,16.502591
2.511,16.571429
2.762,16.434109
3.013,16.434109
3.264,16.298201
3.515,16.096939
3.767,16.030534
4.019,16.030534
4.271,15.964467
4.523,16.230769
4.776,16.434109
5.028,16.502591
5.280,16.298201
5.533,15.964467
5.785,15.964467
6.037,16.030534
6.290,16.365979
6.542,16.571429
6.794,16.710183
7.046,16.850394
7.299,16.502591
7.551,16.434109
7.803,16.365979
8.056,16.640625
8.308,16.710183
8.561,16.850394
8.813,16.640625
9.065,16.434109
9.317,16.230769
9.570,16.163683
9.822,16.434109
10.074,16.571429
10.326,16.571429
10.579,16.571429
10.831,16.230769
11.084,16.230769
11.336,16.230769
11.589,16.434109
11.841,16.571429
12.093,16.571429
12.345,16.434109
12.598,16.096939
12.850,16.163683
13.103,16.230769
13.355,16.571429
13.607,16.780105
13.859,16.921053
14.112,16.850394
14.364,16.640625
14.616,16.571429
14.869,16.434109
15.121,16.710183
15.373,16.921053
15.625,16.992084
15.878,17.135279
16.130,16.850394
16.382,16.921053
16.635,16.850394
16.887,17.207447
17.140,17.426273
17.392,17.352941
17.645,17.135279
17.897,16.921053
18.150,16.850394
18.402,16.921053
18.655,17.207447
18.907,17.207447
19.160,17.280000
19.412,16.921053
19.664,16.921053
19.917,16.850394
20.169,17.135279
20.422,17.352941
20.675,17.280000
20.927,17.135279
21.179,16.921053
21.432,16.850394
21.684,16.850394
21.937,17.207447
22.189,17.500000
22.441,17.574124
22.694,17.352941
22.946,17.135279
23.198,17.063492
23.450,17.063492
23.702,17.207447
23.955,17.352941
24.207,17.352941
24.459,17.280000
24.712,16.850394
24.964,16.780105
25.216,16.850394
25.468,16.992084
25.721,17.207447
25.973,17.207447
26.225,17.063492
26.477,16.780105
26.730,16.780105
26.982,16.640625
27.234,16.921053
27.486,17.063492
27.738,17.207447
27.991,17.207447
28.243,16.921053
28.495,16.780105
28.748,16.921053
29.000,16.921053
29.252,17.280000
29.504,17.280000
29.757,17.280000
30.010,16.992084
30.262,16.780105
30.515,16.850394
30.767,17.207447
31.020,17.280000
31.272,17.352941
31.525,16.921053
31.777,16.850394
32.030,16.780105
32.282,16.992084
32.535,17.207447
32.787,17.280000
33.040,17.135279
33.292,16.710183
33.544,16.640625
33.797,16.640625
34.049,16.992084
34.301,17.063492
34.554,17.280000
34.806,17.280000
35.058,16.992084
35.310,16.921053
35.563,16.992084
35.815,17.207447
36.067,17.207447
36.319,17.500000
36.571,17.426273
36.824,17.063492
37.076,16.780105
37.328,16.850394
37.581,17.135279
37.833,17.352941
38.085,17.500000
38.337,17.426273
38.590,17.135279
38.843,16.992084
39.095,16.992084
39.347,17.280000
39.600,17.500000
39.852,17.426273
40.104,17.207447
40.357,16.850394
40.609,16.780105
40.861,16.710183
41.113,17.135279
41.366,17.280000
41.618,17.207447
41.870,17.063492
42.123,16.780105
42.375,16.710183
42.627,16.640625
42.880,17.063492
43.132,17.207447
43.384,17.135279
43.637,16.921053
43.889,16.571429
44.141,16.571429
44.393,16.640625
44.646,16.921053
44.898,16.992084
45.150,17.135279
45.403,16.710183
45.655,16.571429
45.908,16.571429
46.161,16.850394
46.413,17.063492
46.666,17.207447
46.918,17.063492
47.171,16.921053
47.423,17.207447
47.676,17.352941
47.928,17.723577
48.181,17.723577
48.433,17.723577
48.685,17.352941
48.938,17.207447
49.190,16.992084
49.443,17.207447
49.695,17.426273
49.948,17.500000
50.200,17.207447
50.453,16.921053
50.705,16.850394
50.957,16.850394
51.210,17.135279
51.462,17.280000
51.714,17.352941
51.966,17.135279
52.219,16.850394
52.471,16.850394
52.723,16.710183
52.975,17.063492
53.228,17.135279
53.480,17.280000
53.732,16.992084
53.984,16.780105
54.236,16.710183
54.488,16.710183
54.740,16.850394
54.993,17.063492
55.245,17.207447
55.497,17.280000
55.749,16.992084
56.001,16.992084
56.253,16.992084
56.506,17.063492
56.758,17.280000
57.010,17.500000
57.262,17.426273
57.514,17.135279
57.766,16.850394
58.019,16.780105
58.271,16.850394
58.523,17.063492
58.776,17.135279
59.028,17.280000
59.281,16.992084
59.533,16.850394
59.786,16.921053
60.038,17.207447
60.291,17.426273
60.543,17.500000
60.795,17.500000
61.048,17.207447
61.300,16.992084
61.553,16.921053
61.805,17.280000
62.057,17.500000
62.309,17.574124
62.562,17.500000
62.814,17.207447
63.066,16.992084
63.318,16.992084
63.571,17.135279
63.823,17.426273
64.076,17.500000
64.328,17.500000
64.580,17.280000
64.833,17.352941
65.085,17.500000
65.337,17.874659
65.589,18.259669
65.841,18.104396
66.094,17.950820
66.346,17.500000
66.598,17.500000
66.851,17.574124
67.103,18.027397
67.356,18.181818
67.608,18.337950
67.860,18.181818
68.113,17.798913
68.365,17.723577
68.617,17.798913
68.869,18.027397
69.122,18.104396
69.374,18.027397
69.626,17.874659
69.878,17.500000
70.131,17.426273
70.383,17.426273
70.635,17.648649
70.887,17.798913
71.140,17.874659
71.392,17.798913
71.645,17.352941
71.897,17.352941
72.149,17.500000
72.401,18.027397
72.653,18.104396
72.906,18.259669
73.158,18.181818
73.410,17.874659
