time_s,gsr_us
0.001,12.988764
0.252,12.988764
0.503,12.988764
0.754,13.092551
1.005,13.144796
1.256,13.144796
1.507,13.092551
1.758,13.144796
2.009,13.092551
2.260,13.040541
2.511,12.885906
2.762,12.937220
3.014,12.834821
3.265,12.733333
3.516,12.733333
3.767,12.632743
4.019,12.733333
4.271,13.846154
4.523,14.241706
4.775,13.901869
5.028,13.571429
5.280,13.356164
5.532,13.302961
5.785,13.250000
6.037,13.517241
6.289,13.571429
6.541,13.463303
6.793,13.409611
7.046,13.571429
7.298,13.790698
7.550,14.184397
7.802,14.299287
8.054,14.184397
8.307,14.070588
8.559,14.184397
8.811,13.901869
9.063,13.790698
9.315,13.846154
9.568,13.735499
9.820,14.014085
10.072,13.957845
10.325,14.014085
10.577,13.901869
10.829,13.735499
11.081,13.846154
11.334,13.790698
11.586,13.790698
11.838,13.846154
12.091,13.901869
12.343,13.790698
12.595,13.517241
12.848,13.517241
13.100,13.517241
13.352,13.680556
13.604,13.735499
13.856,13.901869
14.108,13.790698
14.361,13.735499
14.613,13.356164
14.866,13.463303
15.118,13.571429
15.370,13.790698
15.623,14.070588
15.875,13.901869
16.128,13.680556
16.380,13.680556
16.632,13.680556
16.884,13.846154
17.136,13.846154
17.389,13.901869
17.641,13.790698
17.893,13.625866
18.145,13.517241
18.397,13.571429
18.649,13.571429
18.901,13.846154
19.154,13.846154
19.406,13.901869
19.658,13.680556
19.911,13.517241
20.163,13.463303
20.415,13.625866
20.668,13.790698
20.920,13.846154
21.172,13.735499
21.425,13.409611
21.676,13.409611
21.929,13.356164
22.181,13.517241
22.433,13.735499
22.685,13.735499
22.937,13.680556
23.190,13.463303
23.442,13.409611
23.695,13.409611
23.947,13.517241
24.199,13.680556
24.451,13.680556
24.703,13.790698
24.955,13.571429
25.208,13.409611
25.460,13.302961
25.712,13.356164
25.964,13.517241
26.217,13.680556
26.469,13.571429
26.721,13.356164
26.974,13.356164
27.226,13.197279
27.478,13.409611
27.731,13.846154
27.983,13.957845
28.235,13.680556
28.487,13.571429
28.739,13.409611
28.992,13.463303
29.244,13.625866
29.497,13.790698
29.749,13.790698
30.001,13.680556
30.253,13.463303
30.505,13.356164
30.758,13.409611
31.010,13.517241
31.262,13.680556
31.514,13.680556
31.766,13.625866
32.018,13.625866
32.271,13.409611
32.523,13.356164
32.775,13.409611
33.027,13.571429
33.279,13.625866
33.531,13.680556
33.783,13.571429
34.035,13.409611
34.288,13.409611
34.540,13.356164
34.792,13.517241
35.044,13.625866
35.297,13.680556
35.549,13.735499
35.801,13.463303
36.054,13.409611
36.305,13.409611
36.557,13.409611
36.809,13.517241
37.062,13.680556
37.314,13.957845
37.566,13.901869
37.818,13.735499
38.071,13.571429
38.323,13.625866
38.575,13.735499
38.828,13.846154
39.080,13.901869
39.332,13.790698
39.585,13.517241
39.837,13.463303
40.089,13.517241
40.341,13.680556
40.593,13.735499
40.846,13.790698
41.098,13.846154
41.350,13.571429
41.602,13.625866
41.854,13.517241
42.106,13.463303
42.358,13.625866
42.611,13.517241
42.863,13.409611
43.115,13.144796
43.368,13.250000
43.620,13.302961
43.872,13.250000
44.124,13.517241
44.376,13.517241
44.629,13.625866
44.881,13.463303
45.133,13.302961
45.385,13.250000
45.637,13.250000
